Id,SalePrice
1461,122073.41211141415
1462,154715.10253760865
1463,184591.67945098042
1464,187095.67249480207
1465,184111.86991122193
1466,173136.4614283463
1467,166608.66896807952
1468,162230.6729447299
1469,185238.02129344482
1470,113751.84721717652
1471,198372.0201881745
1472,98761.75343844265
1473,98608.03131721212
1474,142745.39174957664
1475,120725.70780037766
1476,361144.5577761249
1477,241186.63214952667
1478,292016.75195493986
1479,287850.6325335299
1480,483080.1956641813
1481,306746.66300640244
1482,207614.51212492544
1483,185945.38632070168
1484,162126.52034342437
1485,176754.8124203369
1486,201393.21073188484
1487,334994.6584784497
1488,252682.1501519874
1489,188900.70948031082
1490,235920.06902075146
1491,191284.1305410867
1492,96655.53952855985
1493,182067.75922304566
1494,286693.49119803467
1495,306968.6099010598
1496,227720.62204255644
1497,177104.45632914046
1498,150608.53787195394
1499,150213.10483396403
1500,145560.14391543373
1501,164467.58918730108
1502,149083.05728366293
1503,293864.83494385355
1504,236725.86927273613
1505,219711.69762929
1506,179621.70154230998
1507,255988.89425041663
1508,206485.32640664218
1509,155724.262631081
1510,135096.39314553907
1511,146966.80797944785
1512,161935.20435449752
1513,142914.64755695526
1514,172817.9778939104
1515,219099.42331450354
1516,168952.3514699004
1517,168664.55834915832
1518,133890.2164433608
1519,221722.60647724778
1520,124484.22614299794
1521,133067.21155027233
1522,167062.11196410886
1523,108412.75269165427
1524,122557.41796841008
1525,130575.82342537065
1526,119302.71329018558
1527,99165.33223644916
1528,137200.33599682548
1529,132662.50247830324
1530,178002.13101982235
1531,115534.30769790825
1532,99176.8648858982
1533,137768.97611928076
1534,123889.67260605012
1535,164849.25033637002
1536,111200.54037016936
1537,79209.6140366728
1538,171591.14706259497
1539,208371.8386918987
1540,108284.84354037365
1541,152166.73678016814
1542,137088.62779273017
1543,187513.61125063998
1544,81056.79717198884
1545,111114.78628587553
1546,132160.609665021
1547,134496.3748158492
1548,133244.82455640234
1549,113227.87886799664
1550,126230.61150353853
1551,118339.22751755435
1552,128481.61411562884
1553,127691.03184907348
1554,117810.07631976565
1555,176160.10586622191
1556,90296.90654940532
1557,103937.3920805602
1558,94901.16857993728
1559,91174.94001159378
1560,142656.4201833821
1561,133277.80145458903
1562,121567.12047736176
1563,112814.06526430018
1564,173760.4388933588
1565,151963.7939699062
1566,261753.91482205037
1567,83941.43135468288
1568,216602.48135561572
1569,142012.53541790848
1570,134477.5346742069
1571,121428.10606671861
1572,144356.96616932054
1573,255716.17029424355
1574,108667.15958925163
1575,223573.5275396487
1576,251300.70570364827
1577,186740.686691983
1578,158335.93669896194
1579,146290.85744314324
1580,192857.2089735163
1581,149629.91423750247
1582,121801.80152736655
1583,326882.2550112973
1584,229176.21274905547
1585,142490.02220105485
1586,78706.9557355643
1587,102684.38432055435
1588,144410.13955317053
1589,105683.23970075247
1590,140055.75773269782
1591,91865.6266359244
1592,116243.37014800127
1593,118244.29756080263
1594,115214.89778605785
1595,104961.3685237295
1596,228825.16328230774
1597,175151.04809725174
1598,197671.8941829152
1599,182432.12240002552
1600,181061.77063480314
1601,73891.46855095607
1602,109038.67274700703
1603,93344.57088621419
1604,269471.504394526
1605,264619.057929296
1606,171136.82848546075
1607,187260.7915305823
1608,214717.94578471454
1609,187425.87421672358
1610,149041.96451933536
1611,145916.49523528732
1612,171817.69920776683
1613,165393.96480035147
1614,119588.79937204502
1615,88596.6876877013
1616,80740.41744149225
1617,94767.54125348103
1618,120049.5369749819
1619,137817.66907794052
1620,146454.27449319736
1621,142179.6669999506
1622,133929.6177842663
1623,283674.28277785366
1624,219029.93863293563
1625,119132.3494274373
1626,174541.41028387967
1627,192815.22775401868
